Postać A,Postać B,Siła relacji
MATCH PULLBACK,OTHER FATHER,1
MATCH PULLBACK,OTHER MOTHER,1
MATCH PULLBACK,PHOTO FRIEND 1,1
MATCH PULLBACK,PHOTO FRIEND 2,1
MATCH PULLBACK,PHOTO FRIENDS,1
MATCH PULLBACK,TOY SQUID,1
MATCH PULLBACK,TOY TANK GIRAFFE,1
MOTHER,PHOTO FRIENDS,1
MOTHER,TOY TANK GIRAFFE,1
OTHER FATHER,PHOTO FRIENDS,1
OTHER FATHER,TOY TANK GIRAFFE,1
OTHER MOTHER,PHOTO FRIENDS,1
OTHER MOTHER,TOY TANK GIRAFFE,1
PHOTO FRIEND 1,PHOTO FRIENDS,1
PHOTO FRIEND 1,TOY TANK GIRAFFE,1
PHOTO FRIEND 2,PHOTO FRIENDS,1
PHOTO FRIEND 2,TOY TANK GIRAFFE,1
PHOTO FRIENDS,TOY SQUID,1
PHOTO FRIENDS,TOY TANK GIRAFFE,1
TOY SQUID,TOY TANK GIRAFFE,1
CAT,ENTRANCE TO OTHER ORCHARD,1
CAT,OTHER HOUSE REAPPEARS,1
CAT,OTHER ORCHARD,1
CAT,OTHER STEEP HILLSIDE TRAIL,1
CORALINE,ENTRANCE TO OTHER ORCHARD,1
CORALINE,OTHER HOUSE REAPPEARS,1
CORALINE,OTHER ORCHARD,1
CORALINE,OTHER STEEP HILLSIDE TRAIL,1
ENTRANCE TO OTHER ORCHARD,OTHER HOUSE REAPPEARS,1
ENTRANCE TO OTHER ORCHARD,OTHER ORCHARD,1
ENTRANCE TO OTHER ORCHARD,OTHER STEEP HILLSIDE TRAIL,1
OTHER HOUSE REAPPEARS,OTHER ORCHARD,1
OTHER HOUSE REAPPEARS,OTHER STEEP HILLSIDE TRAIL,1
OTHER ORCHARD,OTHER STEEP HILLSIDE TRAIL,1
ALL GHOSTS,BELDAM,1
ALL GHOSTS,BOY GHOST,1
ALL GHOSTS,CORALINE,1
ALL GHOSTS,MOTHER,1
ALL GHOSTS,OTHER MOTHER,1
ALL GHOSTS,SWEET GIRL GHOST,1
MOTHER,WRAPPED BOX,1
OTHER MOTHER,WRAPPED BOX,1
CONTINUE,MISS FORCIBLE,1
CONTINUE,MISS SPINK,1
CONTINUE,OTHER MISS FORCIBLE,1
CONTINUE,OTHER MISS SPINK,1
CONTINUE,OTHER WYBIE,1
CONTINUE,WYBIE,1
CONTINUE,YOUNG FORCIBLE,1
CONTINUE,YOUNG SPINK,1
CORALINE,OTHER MISS FORCIBLE,1
CORALINE,OTHER MISS SPINK,1
CORALINE,YOUNG FORCIBLE,1
MISS FORCIBLE,OTHER MISS FORCIBLE,1
ALL GHOSTS,TALL GIRL GHOST,1
ALL GHOSTS,TALL OTHER MOTHER,1
BELDAM,OTHER MOTHER,1
BELDAM,TALL OTHER MOTHER,1
BOY GHOST,MOTHER,1
BOY GHOST,OTHER MOTHER,1
BOY GHOST,TALL OTHER MOTHER,1
CORALINE,YOUNG RASCAL,1
MEL,YOUNG RASCAL,1
MOTHER,YOUNG RASCAL,1
OTHER MOTHER,YOUNG RASCAL,1
CORALINE,WRAPPED BOX,1
MISS FORCIBLE,MOTHER,1
MISS FORCIBLE,OTHER MOTHER,1
MISS FORCIBLE,WRAPPED BOX,1
MOTHER,TALL GIRL GHOST,1
OTHER MOTHER,SWEET GIRL GHOST,1
OTHER MOTHER,TALL GIRL GHOST,1
SWEET GIRL GHOST,TALL OTHER MOTHER,1
TALL GIRL GHOST,TALL OTHER MOTHER,1
OTHER WYBIE,TALL OTHER MOTHER,1
TALL OTHER MOTHER,WYBIE,1
OTHER FATHER,TALL OTHER MOTHER,1
BOY GHOST,OTHER FATHER,1
CORALINE,TAFFY MONSTER,1
TAFFY MONSTER,TALL GIRL GHOST,1
TAFFY MONSTER,YOUNG SPINK,1
MOTHER,MR. BOBINSKY,1
MR. BOBINSKY,OTHER FATHER,1
MR. BOBINSKY,OTHER MOTHER,1
MISS SPINK,MOTHER,1
TALL GIRL GHOST,YOUNG SPINK,1
CAT,SWEET GIRL GHOST,1
BELDAM,DON'T LEAVE ME! DON'T LEAVE ME!!! I'LL,1
CAT,DON'T LEAVE ME! DON'T LEAVE ME!!! I'LL,1
CORALINE,DON'T LEAVE ME! DON'T LEAVE ME!!! I'LL,1
DON'T LEAVE ME! DON'T LEAVE ME!!! I'LL,MOTHER,1
CAT,MATCH MOVE DISSOLVE TO,1
CAT,TOY SQUID,1
CHARLIE,MATCH MOVE DISSOLVE TO,1
CHARLIE,OTHER MOTHER,1
CHARLIE,TOY SQUID,1
CORALINE,MATCH MOVE DISSOLVE TO,1
MATCH MOVE DISSOLVE TO,MEL,1
MATCH MOVE DISSOLVE TO,MOTHER,1
CHARLIE,MR. BOBINSKY,1
CHARLIE,WYBIE,1
CHARLIE,WYBIE'S GRANDMOTHER,1
MEL,MISS FORCIBLE,1
MEL,MR. BOBINSKY,1
MEL,WYBIE'S GRANDMOTHER,1
MISS FORCIBLE,MR. BOBINSKY,1
MISS FORCIBLE,WYBIE'S GRANDMOTHER,1
MISS SPINK,MR. BOBINSKY,1
MISS SPINK,WYBIE'S GRANDMOTHER,1
MR. BOBINSKY,WYBIE'S GRANDMOTHER,1
